,Experiment_ID,Genome,antibody,antibody used,antibody name,antibody target,chromatin ip antibody,cell antibody,chip antibody target,chip antibody,chip_antibody,ip antibody
18256,srx199871,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18257,srx199872,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18258,srx199873,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18259,srx199874,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18260,srx199875,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18261,srx199876,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18262,srx199877,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18263,srx199878,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18264,srx199879,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18265,srx199880,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18266,srx199881,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18267,srx199882,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18268,srx199883,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18269,srx199884,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18270,srx199885,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18271,srx199886,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18272,srx199887,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18273,srx199888,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18274,srx199889,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18275,srx199890,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18276,srx199891,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18277,srx199892,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18278,srx199893,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18279,srx199894,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18280,srx199895,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18281,srx199896,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18282,srx199897,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18283,srx199898,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18284,srx199899,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18285,srx199900,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18286,srx199901,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18287,srx199902,hg19,input,nan,nan,nan,nan,nan,nan,nan,nan,nan
18288,srx199903,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18289,srx199904,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18290,srx199905,hg19,ctcf,nan,nan,nan,nan,nan,nan,nan,nan,nan
18291,srx2000339,hg19,tet2,nan,nan,nan,nan,nan,nan,nan,nan,nan
18292,srx2000340,hg19,rarb,nan,nan,nan,nan,nan,nan,nan,nan,nan
18293,srx2000341,hg19,5hmc,nan,nan,nan,nan,nan,nan,nan,nan,nan
18294,srx2000342,hg19,tet3,nan,nan,nan,nan,nan,nan,nan,nan,nan
18295,srx2000343,hg19,rarb,nan,nan,nan,nan,nan,nan,nan,nan,nan
18296,srx2000344,hg19,5hmc,nan,nan,nan,nan,nan,nan,nan,nan,nan
18538,srx2011493,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18782,srx2023703,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18790,srx2023711,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18798,srx2023719,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18805,srx2023726,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18810,srx2023731,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18812,srx2023733,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18818,srx2023740,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18826,srx2023748,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18834,srx2023756,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18841,srx2023763,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18843,srx2023765,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18849,srx2023771,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18878,srx202967,hg19,runx1,nan,nan,nan,nan,nan,nan,runx1,nan,nan
18879,srx202968,hg19,na,nan,nan,nan,nan,nan,nan,na,nan,nan
18884,srx2031178,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
18885,srx2031179,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
18886,srx2031180,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
18887,srx2031181,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
18888,srx2031182,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
18889,srx2031183,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
18890,srx2031184,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
18891,srx2031185,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
18892,srx2031186,hg19,h3k79me3,nan,nan,nan,nan,nan,nan,h3k79me3,nan,nan
18893,srx2031187,hg19,h3k79me3,nan,nan,nan,nan,nan,nan,h3k79me3,nan,nan
18894,srx2031188,hg19,h3k79me3,nan,nan,nan,nan,nan,nan,h3k79me3,nan,nan
18895,srx2031189,hg19,h3k79me3,nan,nan,nan,nan,nan,nan,h3k79me3,nan,nan
18902,srx203337,hg19,input mnase digested dna,nan,nan,nan,nan,nan,nan,input mnase digested dna,nan,nan
18903,srx203338,hg19,input mnase digested dna,nan,nan,nan,nan,nan,nan,input mnase digested dna,nan,nan
18904,srx203339,hg19,input mnase digested dna,nan,nan,nan,nan,nan,nan,input mnase digested dna,nan,nan
18905,srx203340,hg19,input mnase digested dna,nan,nan,nan,nan,nan,nan,input mnase digested dna,nan,nan
18906,srx203341,hg19,input mnase digested dna,nan,nan,nan,nan,nan,nan,input mnase digested dna,nan,nan
18907,srx203342,hg19,input mnase digested dna,nan,nan,nan,nan,nan,nan,input mnase digested dna,nan,nan
18920,srx203387,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
18921,srx203388,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
18923,srx203390,hg19,cdk9,nan,nan,nan,nan,nan,nan,cdk9,nan,nan
18924,srx203391,hg19,cdk9,nan,nan,nan,nan,nan,nan,cdk9,nan,nan
18925,srx203392,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
18926,srx203393,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
18927,srx203394,hg19,max,nan,nan,nan,nan,nan,nan,max,nan,nan
18930,srx203397,hg19,none wce,nan,nan,nan,nan,nan,nan,none wce,nan,nan
18931,srx203398,hg19,none wce,nan,nan,nan,nan,nan,nan,none wce,nan,nan
18954,srx2039658,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
18955,srx2039659,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
18956,srx2039660,hg19,h4k20me3,nan,nan,nan,nan,nan,nan,h4k20me3,nan,nan
18957,srx2039661,hg19,h4k20me3,nan,nan,nan,nan,nan,nan,h4k20me3,nan,nan
18958,srx2039662,hg19,h4k20me3,nan,nan,nan,nan,nan,nan,h4k20me3,nan,nan
18959,srx2039663,hg19,h4k20me3,nan,nan,nan,nan,nan,nan,h4k20me3,nan,nan
18960,srx2039664,hg19,h4k20me3,nan,nan,nan,nan,nan,nan,h4k20me3,nan,nan
18961,srx2039665,hg19,h4k20me3,nan,nan,nan,nan,nan,nan,h4k20me3,nan,nan
18962,srx2039666,hg19,h4k20me3,nan,nan,nan,nan,nan,nan,h4k20me3,nan,nan
18963,srx2039667,hg19,h4k20me3,nan,nan,nan,nan,nan,nan,h4k20me3,nan,nan
18964,srx2039668,hg19,h4k20me3,nan,nan,nan,nan,nan,nan,h4k20me3,nan,nan
18965,srx2039669,hg19,h4k20me3,nan,nan,nan,nan,nan,nan,h4k20me3,nan,nan
18966,srx2039670,hg19,h4k20me3,nan,nan,nan,nan,nan,nan,h4k20me3,nan,nan
18967,srx2039671,hg19,h4k20me3,nan,nan,nan,nan,nan,nan,h4k20me3,nan,nan
18968,srx2039672,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18969,srx2039673,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
18970,srx2039674,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18971,srx2039675,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18972,srx2039676,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18973,srx2039677,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18974,srx2039678,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
18975,srx2039679,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
18976,srx2039680,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
18977,srx2039681,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
18978,srx2039682,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
18979,srx2039683,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
18980,srx2039684,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
18981,srx2039685,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
18982,srx2039686,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
18983,srx2039687,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
18984,srx2039688,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
18985,srx2039689,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
18986,srx2039690,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
18987,srx2039691,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
18988,srx2039692,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
18989,srx2039693,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
18990,srx2039694,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
18991,srx2039695,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
18992,srx2039696,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
18993,srx2039697,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
18994,srx2039698,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
18995,srx2039699,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
18996,srx2039700,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
18997,srx2039701,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
18998,srx2039702,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
18999,srx2039703,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
19000,srx2039704,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19001,srx2039705,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19002,srx2039706,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19003,srx2039707,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19004,srx2039708,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19005,srx2039709,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19006,srx2039710,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
19007,srx2039711,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
19008,srx2039712,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
19009,srx2039713,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
19010,srx2039714,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
19011,srx2039715,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19012,srx2039716,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19013,srx2039717,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19014,srx2039718,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19015,srx2039719,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19016,srx2039720,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
19017,srx2039721,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
19018,srx2039722,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19019,srx2039723,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19020,srx2039724,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19021,srx2039725,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19022,srx2039726,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
19023,srx2039727,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19024,srx2039728,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19025,srx2039729,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19026,srx2039730,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19027,srx2039731,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19028,srx2039732,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
19029,srx2039733,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19030,srx2039734,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19031,srx2039735,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19032,srx2039736,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
19033,srx2039737,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19034,srx2039738,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19035,srx2039739,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19036,srx2039740,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19037,srx2039741,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19038,srx2039742,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19039,srx2039743,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19040,srx2039744,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19041,srx2039745,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19042,srx2039746,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
19043,srx2039747,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19044,srx2039748,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19045,srx2039749,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19046,srx2039750,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19047,srx2039751,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19048,srx2039752,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19049,srx2039753,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19050,srx2039754,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19051,srx2039755,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19052,srx2039756,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19053,srx2039757,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19054,srx2039758,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19055,srx2039759,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19056,srx2039760,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19057,srx2039761,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
19058,srx2039762,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19059,srx2039763,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
19060,srx2039764,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
19061,srx2039765,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19062,srx2039766,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19063,srx2039767,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
19064,srx2039768,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19065,srx2039769,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19066,srx2039770,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19067,srx2039771,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19068,srx2039772,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19069,srx2039773,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19070,srx2039774,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
19071,srx2039775,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19072,srx2039776,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19073,srx2039777,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19074,srx2039778,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19075,srx2039779,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19076,srx2039780,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19077,srx2039781,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19078,srx2039782,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19079,srx2039783,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
19080,srx2039784,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
19081,srx2039785,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
19082,srx2039786,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
19119,srx204408,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
19120,srx204409,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
19121,srx204410,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
19123,srx204412,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
19124,srx204413,hg19,max,nan,nan,nan,nan,nan,nan,max,nan,nan
19132,srx204662,hg19,hcf1,nan,nan,nan,nan,nan,nan,hcf1,nan,nan
19135,srx204900,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
19136,srx204901,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
19137,srx204902,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
19138,srx204903,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
19139,srx204904,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
19140,srx204905,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
19144,srx204914,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
19145,srx205070,hg19,h2az,nan,nan,nan,nan,nan,nan,h2az,nan,nan
19146,srx205071,hg19,h2az,nan,nan,nan,nan,nan,nan,h2az,nan,nan
19147,srx205072,hg19,h3k14ac,nan,nan,nan,nan,nan,nan,h3k14ac,nan,nan
19148,srx205073,hg19,h3k14ac,nan,nan,nan,nan,nan,nan,h3k14ac,nan,nan
19149,srx205074,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
19150,srx205075,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
19151,srx205076,hg19,h3k27me2,nan,nan,nan,nan,nan,nan,h3k27me2,nan,nan
19152,srx205077,hg19,h3k27me2,nan,nan,nan,nan,nan,nan,h3k27me2,nan,nan
19153,srx205078,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19154,srx205079,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
19155,srx205080,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
19156,srx205081,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,h3k36me3,nan,nan
19157,srx205082,hg19,h3k4me1,nan,nan,nan,nan,nan,nan,h3k4me1,nan,nan
19158,srx205083,hg19,h3k4me1,nan,nan,nan,nan,nan,nan,h3k4me1,nan,nan
19159,srx205084,hg19,h3k4me2,nan,nan,nan,nan,nan,nan,h3k4me2,nan,nan
19160,srx205085,hg19,h3k4me2,nan,nan,nan,nan,nan,nan,h3k4me2,nan,nan
19161,srx205086,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19162,srx205087,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
19163,srx205088,hg19,h3k79me3,nan,nan,nan,nan,nan,nan,h3k79me3,nan,nan
19164,srx205089,hg19,h3k79me3,nan,nan,nan,nan,nan,nan,h3k79me3,nan,nan
19165,srx205090,hg19,h3k9ac,nan,nan,nan,nan,nan,nan,h3k9ac,nan,nan
19166,srx205091,hg19,h3k9ac,nan,nan,nan,nan,nan,nan,h3k9ac,nan,nan
19167,srx205092,hg19,h3k9me1,nan,nan,nan,nan,nan,nan,h3k9me1,nan,nan
19168,srx205093,hg19,h3k9me1,nan,nan,nan,nan,nan,nan,h3k9me1,nan,nan
19169,srx205094,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19170,srx205095,hg19,h3k9me3,nan,nan,nan,nan,nan,nan,h3k9me3,nan,nan
19171,srx205096,hg19,h3r17me2asym,nan,nan,nan,nan,nan,nan,h3r17me2asym,nan,nan
19172,srx205097,hg19,h3r17me2asym,nan,nan,nan,nan,nan,nan,h3r17me2asym,nan,nan
19173,srx205098,hg19,h4k20me1,nan,nan,nan,nan,nan,nan,h4k20me1,nan,nan
19174,srx205099,hg19,h4k20me1,nan,nan,nan,nan,nan,nan,h4k20me1,nan,nan
19175,srx205100,hg19,h4k8ac,nan,nan,nan,nan,nan,nan,h4k8ac,nan,nan
19176,srx205101,hg19,h4k8ac,nan,nan,nan,nan,nan,nan,h4k8ac,nan,nan
19177,srx205102,hg19,h4r3me2sym,nan,nan,nan,nan,nan,nan,h4r3me2sym,nan,nan
19178,srx205103,hg19,h4r3me2sym,nan,nan,nan,nan,nan,nan,h4r3me2sym,nan,nan
19179,srx205104,hg19,panh3,nan,nan,nan,nan,nan,nan,panh3,nan,nan
19180,srx205105,hg19,panh3,nan,nan,nan,nan,nan,nan,panh3,nan,nan
19301,srx2059874,hg19,8wg16,nan,nan,nan,nan,nan,nan,8wg16,nan,nan
19302,srx2059875,hg19,spt5,nan,nan,nan,nan,nan,nan,spt5,nan,nan
19303,srx2059876,hg19,trim28,nan,nan,nan,nan,nan,nan,trim28,nan,nan
19304,srx2059877,hg19,ncoat,nan,nan,nan,nan,nan,nan,ncoat,nan,nan
19305,srx2059878,hg19,rl2,nan,nan,nan,nan,nan,nan,rl2,nan,nan
19306,srx2059879,hg19,mouse igg,nan,nan,nan,nan,nan,nan,mouse igg,nan,nan
19307,srx2059880,hg19,rabbit igg,nan,nan,nan,nan,nan,nan,rabbit igg,nan,nan
19332,srx206835,hg19,runx1,nan,nan,nan,nan,nan,nan,runx1,nan,nan
19348,srx2085872,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
19349,srx2085873,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
19350,srx2085874,hg19,h3k4me2,nan,nan,nan,nan,nan,nan,nan,nan,nan
19351,srx2085875,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
19352,srx2085876,hg19,h3k9ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
19353,srx2085877,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
19354,srx2085878,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
19355,srx2085879,hg19,h3k4me2,nan,nan,nan,nan,nan,nan,nan,nan,nan
19356,srx2085880,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
19357,srx2085881,hg19,h3k9ac,nan,nan,nan,nan,nan,nan,nan,nan,nan
19395,srx212167,hg19,h3k79me2,nan,nan,nan,nan,nan,nan,h3k79me2,nan,nan
19396,srx212168,hg19,h3k79me2,nan,nan,nan,nan,nan,nan,h3k79me2,nan,nan
19397,srx212169,hg19,h3k79me2,nan,nan,nan,nan,nan,nan,h3k79me2,nan,nan
19398,srx212180,hg19,no,nan,nan,nan,nan,nan,nan,nan,nan,nan
19399,srx212181,hg19,no,nan,nan,nan,nan,nan,nan,nan,nan,nan
19419,srx212318,hg19,ctcf,nan,nan,nan,nan,nan,nan,ctcf,nan,nan
19420,srx212319,hg19,ctcf,nan,nan,nan,nan,nan,nan,ctcf,nan,nan
19421,srx212351,hg19,hif1a,nan,nan,nan,nan,nan,nan,hif1a,nan,nan
19422,srx212352,hg19,hif1a,nan,nan,nan,nan,nan,nan,hif1a,nan,nan
19423,srx212353,hg19,hif1a,nan,nan,nan,nan,nan,nan,hif1a,nan,nan
19424,srx212354,hg19,hif1a,nan,nan,nan,nan,nan,nan,hif1a,nan,nan
19425,srx212355,hg19,hif2a,nan,nan,nan,nan,nan,nan,hif2a,nan,nan
