,Experiment_ID,Genome,antibody,antibody used,antibody name,antibody target,chromatin ip antibody,cell antibody,chip antibody target,chip antibody,chip_antibody,ip antibody
12218,srx1427029,hg19,ha beads,nan,nan,nan,nan,nan,nan,ha beads,nan,nan
12219,srx1427030,hg19,ha beads,nan,nan,nan,nan,nan,nan,ha beads,nan,nan
12253,srx142960,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
12254,srx142961,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
12255,srx142962,hg19,h3k4me2,nan,nan,nan,nan,nan,nan,nan,nan,nan
12256,srx142963,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
12436,srx1441558,hg19,h3k27me1,nan,nan,nan,nan,nan,nan,nan,nan,nan
12437,srx1441559,hg19,h3k27me2,nan,nan,nan,nan,nan,nan,nan,nan,nan
12438,srx1441560,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
12439,srx1441562,hg19,h3k27me1,nan,nan,nan,nan,nan,nan,nan,nan,nan
12440,srx1441563,hg19,h3k27me2,nan,nan,nan,nan,nan,nan,nan,nan,nan
12441,srx1441564,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
12442,srx1441565,hg19,h3k27me1,nan,nan,nan,nan,nan,nan,nan,nan,nan
12443,srx1441566,hg19,h3k27me2,nan,nan,nan,nan,nan,nan,nan,nan,nan
12444,srx1441567,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
12447,srx1441767,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
12448,srx1441768,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
12449,srx1441769,hg19,h3k36me3,nan,nan,nan,nan,nan,nan,nan,nan,nan
12452,srx1441863,hg19,total_rnapii,nan,nan,nan,nan,nan,nan,nan,nan,nan
12453,srx1441864,hg19,total_rnapii,nan,nan,nan,nan,nan,nan,nan,nan,nan
12454,srx1441865,hg19,ser2p_rnapii,nan,nan,nan,nan,nan,nan,nan,nan,nan
12455,srx1441866,hg19,ser2p_rnapii,nan,nan,nan,nan,nan,nan,nan,nan,nan
12456,srx1441867,hg19,ser5p_rnapii,nan,nan,nan,nan,nan,nan,nan,nan,nan
12457,srx1441868,hg19,ser5p_rnapii,nan,nan,nan,nan,nan,nan,nan,nan,nan
12458,srx1441869,hg19,ser2p_rnapii,nan,nan,nan,nan,nan,nan,nan,nan,nan
12459,srx1441870,hg19,ser2p_rnapii,nan,nan,nan,nan,nan,nan,nan,nan,nan
12460,srx1441871,hg19,ser5p_rnapii,nan,nan,nan,nan,nan,nan,nan,nan,nan
12461,srx1441872,hg19,ser5p_rnapii,nan,nan,nan,nan,nan,nan,nan,nan,nan
12501,srx144715,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
12502,srx144716,hg19,h3k79me2,nan,nan,nan,nan,nan,nan,h3k79me2,nan,nan
12504,srx144718,hg19,orc1,nan,nan,nan,nan,nan,nan,orc1,nan,nan
12506,srx144720,hg19,brdu,nan,nan,nan,nan,nan,nan,brdu,nan,nan
12507,srx144721,hg19,brdu,nan,nan,nan,nan,nan,nan,brdu,nan,nan
12508,srx144722,hg19,brdu,nan,nan,nan,nan,nan,nan,brdu,nan,nan
12509,srx144723,hg19,brdu,nan,nan,nan,nan,nan,nan,brdu,nan,nan
12510,srx144724,hg19,brdu,nan,nan,nan,nan,nan,nan,brdu,nan,nan
12511,srx144725,hg19,brdu,nan,nan,nan,nan,nan,nan,brdu,nan,nan
12512,srx144726,hg19,brdu,nan,nan,nan,nan,nan,nan,brdu,nan,nan
12513,srx1447316,hg19,foxa1,nan,nan,nan,nan,nan,nan,nan,nan,nan
12514,srx1447317,hg19,foxa1,nan,nan,nan,nan,nan,nan,nan,nan,nan
12546,srx1456192,hg19,ebf1,nan,nan,nan,nan,nan,nan,ebf1,nan,nan
12547,srx1456193,hg19,ebf1,nan,nan,nan,nan,nan,nan,ebf1,nan,nan
12550,srx1456196,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
12551,srx1456197,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
12552,srx1456198,hg19,h3k4me1,nan,nan,nan,nan,nan,nan,h3k4me1,nan,nan
12553,srx1456199,hg19,h3k4me1,nan,nan,nan,nan,nan,nan,h3k4me1,nan,nan
12554,srx1456200,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
12555,srx1456201,hg19,h3k27me3,nan,nan,nan,nan,nan,nan,h3k27me3,nan,nan
12556,srx1456202,hg19,igg,nan,nan,nan,nan,nan,nan,igg,nan,nan
12557,srx1456203,hg19,igg,nan,nan,nan,nan,nan,nan,igg,nan,nan
12572,srx1458081,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12573,srx1458082,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12574,srx1458083,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12575,srx1458084,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12576,srx1458085,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12577,srx1458086,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12578,srx1458089,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12579,srx1458090,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12580,srx1458091,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12581,srx1458092,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12582,srx1458093,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12583,srx1458094,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12584,srx145843,hg19,erg,nan,nan,nan,nan,nan,nan,erg,nan,nan
12607,srx1460238,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
12608,srx1460239,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
12609,srx1460240,hg19,p300,nan,nan,nan,nan,nan,nan,p300,nan,nan
12610,srx1460241,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
12612,srx1460827,hg19,abcam ab46540,nan,nan,nan,nan,nan,nan,nan,nan,nan
12613,srx1460828,hg19,abcam ab8580,nan,nan,nan,nan,nan,nan,nan,nan,nan
12661,srx1471738,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
12662,srx1471739,hg19,brd4,nan,nan,nan,nan,nan,nan,brd4,nan,nan
12664,srx1471741,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12667,srx1473609,hg19,erra,nan,nan,nan,nan,nan,nan,erra,nan,nan
12668,srx1473610,hg19,erra,nan,nan,nan,nan,nan,nan,erra,nan,nan
12670,srx1474424,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12671,srx1474425,hg19,h3k4me1,nan,nan,nan,nan,nan,nan,h3k4me1,nan,nan
12672,srx1474426,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
12673,srx1474427,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12674,srx1474428,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12675,srx1474429,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
12676,srx1474430,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12677,srx1474431,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12678,srx1474432,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
12679,srx1474433,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12680,srx1474434,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12681,srx1474435,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
12682,srx1474436,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12683,srx1474437,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12684,srx1474438,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12685,srx1474439,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12686,srx1474440,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
12687,srx1474441,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12688,srx1474442,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12689,srx1474443,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12690,srx1474444,hg19,h3k4me1,nan,nan,nan,nan,nan,nan,h3k4me1,nan,nan
12691,srx1474445,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12692,srx1474446,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
12693,srx1474447,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12694,srx1474448,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12695,srx1474449,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
12696,srx1474450,hg19,h3k27ac,nan,nan,nan,nan,nan,nan,h3k27ac,nan,nan
12697,srx1474451,hg19,input,nan,nan,nan,nan,nan,nan,input,nan,nan
12698,srx1474452,hg19,h3k4me3,nan,nan,nan,nan,nan,nan,h3k4me3,nan,nan
